filename,time_point,gm_max_raw,gm_max_forward,gm_max_reverse,I_max_raw,I_max_forward,I_max_reverse,I_min_raw,I_min_forward,I_min_reverse,Von_raw,Von_forward,Von_reverse,absgm_max_raw,absgm_max_forward,absgm_max_reverse,absI_max_raw,absI_max_forward,absI_max_reverse,absI_min_raw,absI_min_forward,absI_min_reverse
device_A_transfer_1.csv,0,0.0015512494506389773,2.2458612804181515e-05,0.0015512494506389773,0.0001300753862669275,9.975991013602927e-07,0.0001300753862669275,7.470428004479134e-09,7.470428004479134e-09,8.963673960459231e-07,0.28590604026845634,-0.004026845637583931,0.28590604026845634,0.0015512494506389773,2.2458612804181515e-05,0.0015512494506389773,0.0001300753862669275,9.975991013602927e-07,0.0001300753862669275,7.470428004479134e-09,7.470428004479134e-09,8.963673960459231e-07
device_A_transfer_2.csv,1,0.0018408649328850277,1.610724842600618e-05,0.0018408649328850277,0.00011644203847243411,9.190242267025569e-07,0.00011644203847243411,7.70357776813973e-09,7.70357776813973e-09,7.400917427965885e-07,0.5114093959731542,-0.09261744966442953,-0.004026845637583931,0.0018408649328850277,1.610724842600618e-05,0.0018408649328850277,0.00011644203847243411,9.190242267025569e-07,0.00011644203847243411,7.70357776813973e-09,7.70357776813973e-09,7.400917427965885e-07
device_A_transfer_3.csv,2,0.0018431260618747298,1.9944407397995995e-05,0.0018431260618747298,0.00011258947489062508,8.492468295888696e-07,0.00011258947489062508,6.8541426056333064e-09,6.8541426056333064e-09,8.492468295888696e-07,0.09261744966442953,-0.4791946308724832,0.09261744966442953,0.0038574142058924363,1.9944407397995995e-05,0.0038574142058924363,0.00011258947489062508,8.492468295888696e-07,0.00011258947489062508,6.8541426056333064e-09,6.8541426056333064e-09,8.492468295888696e-07
device_A_transfer_4.csv,3,0.003453028484929145,1.94072235297767e-05,0.003453028484929145,0.0001201668363143114,7.616124618444873e-07,0.0001201668363143114,7.909895790087437e-09,7.909895790087437e-09,6.615547346034333e-07,0.0442953020134228,-0.15704697986577182,0.0442953020134228,0.003453028484929145,1.94072235297767e-05,0.003453028484929145,0.0001201668363143114,7.616124618444873e-07,0.0001201668363143114,7.909895790087437e-09,7.909895790087437e-09,6.615547346034333e-07
device_A_transfer_5.csv,4,0.0014441441109452643,1.64515230570542e-05,0.0014441441109452643,0.00010031016974491674,8.262232282887531e-07,0.00010031016974491674,5.6963722222923816e-09,5.6963722222923816e-09,7.453170476365304e-07,-0.4389261744966443,-0.4389261744966443,0.0604026845637583,0.006221164669212623,1.64515230570542e-05,0.006221164669212623,0.00010031016974491674,8.262232282887531e-07,0.00010031016974491674,5.6963722222923816e-09,5.6963722222923816e-09,7.453170476365304e-07
device_A_transfer_6.csv,5,0.0032457282397623964,9.608294201702026e-06,0.0032457282397623964,0.00011648046183221919,7.858304010352178e-07,0.00011648046183221919,5.351285472106268e-09,5.351285472106268e-09,6.43632956377386e-07,0.3825503355704697,-0.5355704697986577,0.3825503355704697,0.003702889665711006,9.608294201702026e-06,0.003702889665711006,0.00011648046183221919,7.858304010352178e-07,0.00011648046183221919,5.351285472106268e-09,5.351285472106268e-09,6.43632956377386e-07
device_A_transfer_7.csv,6,0.001766965213241073,1.0177401586123497e-05,0.001766965213241073,8.40040681844918e-05,6.003831244915225e-07,8.40040681844918e-05,4.9693329810478495e-09,4.9693329810478495e-09,5.617702743388902e-07,0.08456375838926167,-0.6,-0.004026845637583931,0.001766965213241073,1.0177401586123497e-05,0.001766965213241073,8.40040681844918e-05,6.003831244915225e-07,8.40040681844918e-05,4.9693329810478495e-09,4.9693329810478495e-09,5.617702743388902e-07
device_A_transfer_8.csv,7,0.001960007137706702,1.3688226171112866e-05,0.001960007137706702,9.716421502375688e-05,5.608366764961367e-07,9.716421502375688e-05,4.950235493557638e-09,4.950235493557638e-09,4.7311951203709906e-07,0.42281879194630856,-0.33422818791946307,0.42281879194630856,0.001960007137706702,1.3688226171112866e-05,0.001960007137706702,9.716421502375688e-05,5.608366764961367e-07,9.716421502375688e-05,4.950235493557638e-09,4.950235493557638e-09,4.7311951203709906e-07
device_A_transfer_9.csv,8,0.0022267881021033505,1.7157022833954073e-05,0.0022267881021033505,8.37702976159066e-05,6.420003255052181e-07,8.37702976159066e-05,4.4929199177804146e-09,4.4929199177804146e-09,4.925284126050042e-07,-0.1167785234899329,-0.1167785234899329,0.2778523489932885,0.0022267881021033505,1.7157022833954073e-05,0.0022267881021033505,8.37702976159066e-05,6.420003255052181e-07,8.37702976159066e-05,4.4929199177804146e-09,4.4929199177804146e-09,4.925284126050042e-07
device_A_transfer_10.csv,9,0.0023158555933743,1.1425834507117238e-05,0.0023158555933743,6.729766983994674e-05,5.521300726483463e-07,6.729766983994674e-05,4.3751171667372755e-09,4.3751171667372755e-09,4.613157768994766e-07,0.2939597315436241,-0.22953020134228191,0.2939597315436241,0.0023158555933743,1.1425834507117238e-05,0.0023158555933743,6.729766983994674e-05,5.521300726483463e-07,6.729766983994674e-05,4.3751171667372755e-09,4.3751171667372755e-09,4.613157768994766e-07
device_A_transfer_11.csv,10,0.0017291064962557453,2.5932699778724735e-05,0.0017291064962557453,5.8821773342717987e-05,6.283126544035794e-07,5.8821773342717987e-05,3.3439869566088203e-09,3.3439869566088203e-09,3.222934127131556e-07,0.05234899328859055,-0.03624161073825505,0.05234899328859055,0.0017291064962557453,2.5932699778724735e-05,0.0017291064962557453,5.8821773342717987e-05,6.283126544035794e-07,5.8821773342717987e-05,3.3439869566088203e-09,3.3439869566088203e-09,3.222934127131556e-07
device_A_transfer_12.csv,11,0.00265388340424466,8.842596744536707e-06,0.00265388340424466,5.690049085187361e-05,4.881885786431417e-07,5.690049085187361e-05,2.7104465863846498e-09,2.7104465863846498e-09,3.7655464733673397e-07,0.5597315436241609,-0.26174496644295303,0.5597315436241609,0.0033367131437745177,8.842596744536707e-06,0.0033367131437745177,5.690049085187361e-05,4.881885786431417e-07,5.690049085187361e-05,2.7104465863846498e-09,2.7104465863846498e-09,3.7655464733673397e-07
device_A_transfer_13.csv,12,0.0014976124870393578,1.0385366140122983e-05,0.0014976124870393578,4.56404405351414e-05,4.3516854008264955e-07,4.56404405351414e-05,2.752226524683445e-09,2.752226524683445e-09,3.14447915525003e-07,-0.39060402684563755,-0.39060402684563755,0.21342281879194624,0.0014976124870393578,1.0385366140122983e-05,0.0014976124870393578,4.56404405351414e-05,4.3516854008264955e-07,4.56404405351414e-05,2.752226524683445e-09,2.752226524683445e-09,3.14447915525003e-07
device_A_transfer_14.csv,13,0.000809348421436042,8.375286128474552e-06,0.000809348421436042,4.1138290243250866e-05,3.960251095348804e-07,4.1138290243250866e-05,1.943792311407095e-09,1.943792311407095e-09,3.464879133556201e-07,-0.559731543624161,-0.559731543624161,-0.004026845637583931,0.000809348421436042,8.375286128474552e-06,0.000809348421436042,4.1138290243250866e-05,3.960251095348804e-07,4.1138290243250866e-05,1.943792311407095e-09,1.943792311407095e-09,3.464879133556201e-07
